Date,Open,Close,Low,High,Volume,Volatility,Daily Return,Day_Type,DayOfWeek
2021-08-02 00:00:00,"111,4596","109,9434","109,6693","112,3273",5996800,"0,0238","-0,0136",Bear,1
2021-08-03 00:00:00,"110,1260","108,8108","107,3402","110,2904",6030500,"0,0268","-0,0119",Bear,2
2021-08-04 00:00:00,"108,8108","108,0070","107,3859","108,8838",6675500,"0,0138","-0,0074",Bear,3
2021-08-05 00:00:00,"108,4363","108,7194","107,8791","108,7742",4281900,"0,0083","0,0026",Bull,4
2021-08-06 00:00:00,"108,8199","108,7377","107,8517","108,8838",6832600,"0,0095","-0,0008",Bear,5
2021-08-09 00:00:00,"108,6829","107,7239","107,5503","108,7103",4557900,"0,0107","-0,0088",Bear,1
2021-08-10 00:00:00,"108,1349","106,3081","105,9336","108,2353",9839700,"0,0213","-0,0169",Bear,2
2021-08-11 00:00:00,"106,6749","106,8216","106,2714","107,5459",6472300,"0,0119","0,0014",Bull,3
2021-08-12 00:00:00,"106,7391","106,1339","105,9139","107,0783",4358300,"0,0109","-0,0057",Bear,4
2021-08-13 00:00:00,"106,3081","107,0600","105,8130","107,1242",4361700,"0,0123","0,0071",Bull,5
2021-08-16 00:00:00,"106,9958","107,7752","106,7391","107,9494",5976000,"0,0113","0,0073",Bull,1
2021-08-17 00:00:00,"106,9316","106,8858","105,9597","107,2250",4719800,"0,0118","-0,0004",Bear,2
2021-08-18 00:00:00,"106,6199","106,0697","105,9964","107,0417",4520500,"0,0098","-0,0052",Bear,3
2021-08-19 00:00:00,"104,9969","104,8227","104,1717","105,5104",5317100,"0,0127","-0,0017",Bear,4
2021-08-20 00:00:00,"104,5109","105,1069","104,2175","105,4462",3486300,"0,0118","0,0057",Bull,5
2021-08-23 00:00:00,"105,1803","105,5837","105,1803","105,8680",4235100,"0,0065","0,0038",Bull,1
2021-08-24 00:00:00,"105,8038","105,5196","105,3912","106,2256",3447300,"0,0079","-0,0027",Bear,2
2021-08-25 00:00:00,"105,9872","105,9688","105,4462","106,3540",3881500,"0,0086","-0,0002",Bear,3
2021-08-26 00:00:00,"106,0147","104,8227","104,4009","106,1522",5188200,"0,0165","-0,0112",Bear,4
2021-08-27 00:00:00,"105,0886","105,5562","104,6943","105,8038",4204700,"0,0106","0,0044",Bull,5
2021-08-30 00:00:00,"106,0055","106,0055","105,1069","106,1981",3078200,"0,0103","0,0000",Bull,1
2021-08-31 00:00:00,"106,1522","107,7293","106,0422","107,8302",6995500,"0,0168","0,0149",Bull,2
2021-09-01 00:00:00,"108,2061","107,6926","107,5368","108,4995",4402700,"0,0089","-0,0047",Bear,3
2021-09-02 00:00:00,"108,4629","107,6193","107,1884","108,5271",3801900,"0,0123","-0,0078",Bear,4
2021-09-03 00:00:00,"107,1333","107,4543","106,6749","107,8119",2921300,"0,0106","0,0030",Bull,5
2021-09-07 00:00:00,"107,3626","106,1706","105,8771","107,3992",4264900,"0,0142","-0,0111",Bear,2
2021-09-08 00:00:00,"106,4548","108,2337","105,9138","108,3712",5548400,"0,0231","0,0167",Bull,3
2021-09-09 00:00:00,"108,1786","108,9213","108,0136","110,0950",4711200,"0,0192","0,0069",Bull,4
2021-09-10 00:00:00,"109,4348","109,4256","109,0130","110,7277",6517900,"0,0157","-0,0001",Bear,5
2021-09-13 00:00:00,"109,9299","109,2789","108,7104","110,1683",4381100,"0,0133","-0,0059",Bear,1
2021-09-14 00:00:00,"109,7741","108,9855","108,5271","109,9024",4722800,"0,0125","-0,0072",Bear,2
2021-09-15 00:00:00,"107,2434","105,1161","103,7224","107,2984",11556200,"0,0333","-0,0198",Bear,3
2021-09-16 00:00:00,"105,2536","105,1436","103,7866","105,6938",7997000,"0,0181","-0,0010",Bear,4
2021-09-17 00:00:00,"105,0244","103,9883","103,7224","105,3087",9261000,"0,0151","-0,0099",Bear,5
2021-09-20 00:00:00,"102,0994","102,5304","101,2100","102,9430",7795200,"0,0170","0,0042",Bull,1
2021-09-21 00:00:00,"102,6221","102,8972","102,4662","104,1625",5468400,"0,0165","0,0027",Bull,2
2021-09-22 00:00:00,"103,6674","103,6765","102,9888","104,5568",4578200,"0,0151","0,0001",Bull,3
2021-09-23 00:00:00,"103,9700","104,6577","103,7041","105,1803",3842000,"0,0142","0,0066",Bull,4
2021-09-24 00:00:00,"104,6485","104,6301","104,3092","105,3178",3955000,"0,0096","-0,0002",Bear,5
2021-09-27 00:00:00,"104,1717","104,2359","103,5298","105,1436",3988800,"0,0155","0,0006",Bull,1
2021-09-28 00:00:00,"103,3189","102,4295","101,8519","103,6124",5917700,"0,0170","-0,0086",Bear,2
2021-09-29 00:00:00,"102,6037","102,8513","102,3012","103,1722",4389100,"0,0085","0,0024",Bull,3
2021-09-30 00:00:00,"102,2553","101,1458","101,1458","102,8422",5974500,"0,0166","-0,0108",Bear,4
2021-10-01 00:00:00,"101,6776","103,5390","101,3567","104,0341",5636900,"0,0263","0,0183",Bull,5
2021-10-04 00:00:00,"103,0897","102,2003","101,7968","103,6857",4497700,"0,0183","-0,0086",Bear,1
2021-10-05 00:00:00,"101,8977","101,6410","100,8891","102,2186",5884000,"0,0130","-0,0025",Bear,2
2021-10-06 00:00:00,"101,0266","102,3653","100,3848","102,7138",5734500,"0,0231","0,0133",Bull,3
2021-10-07 00:00:00,"103,0439","102,8880","102,7413","103,5940",5549500,"0,0083","-0,0015",Bear,4
2021-10-08 00:00:00,"103,2272","101,9802","101,8977","103,3006",3787000,"0,0136","-0,0121",Bear,5
2021-10-11 00:00:00,"103,5115","101,7235","101,7052","104,1258",5987300,"0,0234","-0,0173",Bear,1
2021-10-12 00:00:00,"102,4387","101,7785","101,4668","102,5762",3866800,"0,0108","-0,0064",Bear,2
2021-10-13 00:00:00,"102,1361","101,5584","100,3206","102,2186",4806500,"0,0186","-0,0057",Bear,3
